ProdID,Date,DeptID,MachineID,EmployeeID,QuantityProduced,TargetQuantity
PR000079,2024-01-03,3,MC022,EMP0125,131,158
PR000080,2024-01-03,3,MC020,EMP0099,164,158
PR000081,2024-01-03,3,MC023,EMP0029,139,158
PR000082,2024-01-03,3,MC024,EMP0010,172,158
PR000083,2024-01-03,4,MC028,EMP0132,218,200
PR000084,2024-01-03,4,MC025,EMP0174,198,200
PR000085,2024-01-03,4,MC027,EMP0023,192,200
PR000086,2024-01-03,5,MC031,EMP0080,125,142
PR000087,2024-01-03,5,MC034,EMP0164,132,142
PR000088,2024-01-03,5,MC035,EMP0060,123,142
PR000089,2024-01-03,5,MC030,EMP0165,144,142
PR000090,2024-01-03,5,MC032,EMP0086,119,142
PR000091,2024-01-03,6,MC039,EMP0171,313,325
PR000092,2024-01-03,6,MC036,EMP0155,333,325
PR000093,2024-01-03,6,MC038,EMP0155,328,325
PR000094,2024-01-04,1,MC003,EMP0102,156,181
PR000095,2024-01-04,1,MC005,EMP0032,171,181
PR000096,2024-01-04,1,MC002,EMP0066,179,181
PR000097,2024-01-04,1,MC001,EMP0054,190,181
PR000098,2024-01-04,1,MC004,EMP0151,146,181
PR000099,2024-01-04,1,MC008,EMP0008,148,181
PR000100,2024-01-04,1,MC007,EMP0091,188,181
PR000101,2024-01-04,2,MC016,EMP0076,100,120
PR000102,2024-01-04,2,MC017,EMP0074,102,120
PR000103,2024-01-04,2,MC013,EMP0098,112,120
PR000104,2024-01-04,2,MC014,EMP0035,118,120
PR000105,2024-01-04,2,MC012,EMP0001,111,120
PR000106,2024-01-04,2,MC011,EMP0095,105,120
PR000107,2024-01-04,2,MC010,EMP0042,120,120
PR000108,2024-01-04,2,MC015,EMP0140,119,120
PR000109,2024-01-04,3,MC022,EMP0013,143,158
PR000110,2024-01-04,3,MC020,EMP0078,148,158
PR000111,2024-01-04,3,MC024,EMP0078,152,158
PR000112,2024-01-04,3,MC023,EMP0180,147,158
PR000113,2024-01-04,3,MC019,EMP0122,138,158
PR000114,2024-01-04,4,MC025,EMP0175,221,200
PR000115,2024-01-04,4,MC026,EMP0121,209,200
PR000116,2024-01-04,4,MC029,EMP0011,208,200
PR000117,2024-01-04,4,MC028,EMP0087,226,200
PR000118,2024-01-04,5,MC031,EMP0058,138,142
PR000119,2024-01-04,5,MC030,EMP0086,146,142
PR000120,2024-01-04,5,MC034,EMP0164,128,142
PR000121,2024-01-04,5,MC032,EMP0145,132,142
PR000122,2024-01-04,5,MC033,EMP0058,147,142
PR000123,2024-01-04,6,MC038,EMP0155,344,325
PR000124,2024-01-04,6,MC036,EMP0144,358,325
PR000125,2024-01-04,6,MC037,EMP0100,322,325
PR000126,2024-01-05,1,MC008,EMP0008,147,181
PR000127,2024-01-05,1,MC002,EMP0052,147,181
PR000128,2024-01-05,1,MC005,EMP0044,149,181
PR000129,2024-01-05,1,MC003,EMP0073,143,181
PR000130,2024-01-05,1,MC007,EMP0091,149,181
PR000131,2024-01-05,1,MC004,EMP0044,164,181
PR000132,2024-01-05,1,MC006,EMP0032,128,181
PR000133,2024-01-05,2,MC014,EMP0045,109,120
PR000134,2024-01-05,2,MC016,EMP0074,94,120
PR000135,2024-01-05,2,MC010,EMP0027,94,120
PR000136,2024-01-05,2,MC011,EMP0067,98,120
PR000137,2024-01-05,2,MC013,EMP0083,102,120
PR000138,2024-01-05,2,MC012,EMP0035,102,120
PR000139,2024-01-05,2,MC015,EMP0139,93,120
PR000140,2024-01-05,3,MC023,EMP0125,104,158
PR000141,2024-01-05,3,MC021,EMP0069,122,158
PR000142,2024-01-05,3,MC024,EMP0006,109,158
PR000143,2024-01-05,3,MC022,EMP0010,135,158
PR000144,2024-01-05,4,MC029,EMP0121,185,200
PR000145,2024-01-05,4,MC028,EMP0011,159,200
PR000146,2024-01-05,4,MC026,EMP0109,186,200
PR000147,2024-01-05,5,MC030,EMP0060,125,142
PR000148,2024-01-05,5,MC035,EMP0096,110,142
PR000149,2024-01-05,5,MC034,EMP0096,130,142
PR000150,2024-01-05,5,MC033,EMP0080,129,142
PR000151,2024-01-05,5,MC031,EMP0060,116,142
PR000152,2024-01-05,6,MC038,EMP0065,241,325
PR000153,2024-01-05,6,MC039,EMP0046,297,325
PR000154,2024-01-05,6,MC037,EMP0065,275,325
PR000155,2024-01-06,1,MC003,EMP0005,158,181
PR000156,2024-01-06,1,MC007,EMP0166,166,181
PR000157,2024-01-06,1,MC006,EMP0094,194,181
PR000158,2024-01-06,1,MC008,EMP0166,163,181
PR000159,2024-01-06,1,MC004,EMP0112,215,181
PR000160,2024-01-06,1,MC002,EMP0137,164,181
PR000161,2024-01-06,2,MC011,EMP0042,121,120
PR000162,2024-01-06,2,MC009,EMP0012,107,120
PR000163,2024-01-06,2,MC017,EMP0001,120,120
PR000164,2024-01-06,2,MC016,EMP0106,100,120
PR000165,2024-01-06,2,MC013,EMP0036,122,120
PR000166,2024-01-06,2,MC015,EMP0079,113,120
PR000167,2024-01-06,2,MC012,EMP0103,109,120
PR000168,2024-01-06,2,MC014,EMP0123,118,120
PR000169,2024-01-06,3,MC022,EMP0013,155,158
PR000170,2024-01-06,3,MC023,EMP0136,149,158
PR000171,2024-01-06,3,MC020,EMP0172,171,158
PR000172,2024-01-06,3,MC021,EMP0159,133,158
PR000173,2024-01-06,3,MC024,EMP0006,137,158
PR000174,2024-01-06,4,MC028,EMP0023,217,200
PR000175,2024-01-06,4,MC025,EMP0019,238,200
PR000176,2024-01-06,4,MC027,EMP0049,254,200
PR000177,2024-01-06,4,MC026,EMP0011,207,200
PR000178,2024-01-06,5,MC035,EMP0145,132,142
PR000179,2024-01-06,5,MC032,EMP0060,109,142
PR000180,2024-01-06,5,MC030,EMP0145,131,142
PR000181,2024-01-06,5,MC031,EMP0028,140,142
PR000182,2024-01-06,5,MC034,EMP0003,128,142
PR000183,2024-01-06,6,MC037,EMP0065,308,325
PR000184,2024-01-06,6,MC038,EMP0120,327,325
PR000185,2024-01-06,6,MC036,EMP0142,310,325
PR000186,2024-01-07,1,MC007,EMP0007,64,181
PR000187,2024-01-07,1,MC008,EMP0061,62,181
PR000188,2024-01-07,1,MC006,EMP0088,61,181
PR000189,2024-01-07,1,MC005,EMP0104,54,181
PR000190,2024-01-07,1,MC004,EMP0160,61,181
PR000191,2024-01-07,1,MC002,EMP0158,66,181
PR000192,2024-01-07,1,MC001,EMP0038,60,181
PR000193,2024-01-07,2,MC010,EMP0009,30,120
PR000194,2024-01-07,2,MC011,EMP0133,40,120
PR000195,2024-01-07,2,MC014,EMP0117,42,120
PR000196,2024-01-07,2,MC018,EMP0133,41,120
PR000197,2024-01-07,2,MC016,EMP0139,37,120
PR000198,2024-01-07,2,MC009,EMP0015,35,120
PR000199,2024-01-07,2,MC013,EMP0140,40,120
PR000200,2024-01-07,3,MC023,EMP0039,59,158
PR000201,2024-01-07,3,MC019,EMP0034,52,158
PR000202,2024-01-07,3,MC022,EMP0010,46,158
PR000203,2024-01-07,3,MC024,EMP0180,53,158
PR000204,2024-01-07,4,MC027,EMP0022,81,200
PR000205,2024-01-07,4,MC028,EMP0175,78,200
PR000206,2024-01-07,4,MC025,EMP0043,79,200
PR000207,2024-01-07,5,MC033,EMP0060,44,142
PR000208,2024-01-07,5,MC032,EMP0060,46,142
PR000209,2024-01-07,5,MC030,EMP0150,45,142
PR000210,2024-01-07,5,MC031,EMP0068,48,142
PR000211,2024-01-07,6,MC039,EMP0142,108,325
PR000212,2024-01-07,6,MC037,EMP0142,116,325
PR000213,2024-01-07,6,MC036,EMP0053,104,325
PR000214,2024-01-08,1,MC001,EMP0075,154,181
PR000215,2024-01-08,1,MC005,EMP0110,165,181
PR000216,2024-01-08,1,MC007,EMP0137,165,181
PR000217,2024-01-08,1,MC002,EMP0075,173,181
PR000218,2024-01-08,1,MC008,EMP0005,182,181
PR000219,2024-01-08,1,MC003,EMP0126,183,181
PR000220,2024-01-08,2,MC011,EMP0149,118,120
PR000221,2024-01-08,2,MC016,EMP0133,111,120
PR000222,2024-01-08,2,MC014,EMP0095,135,120
PR000223,2024-01-08,2,MC015,EMP0024,120,120
PR000224,2024-01-08,2,MC013,EMP0146,122,120
PR000225,2024-01-08,2,MC018,EMP0095,125,120
PR000226,2024-01-08,2,MC010,EMP0106,109,120
PR000227,2024-01-08,2,MC012,EMP0117,114,120
PR000228,2024-01-08,3,MC022,EMP0078,142,158
PR000229,2024-01-08,3,MC024,EMP0064,173,158
PR000230,2024-01-08,3,MC019,EMP0084,146,158
PR000231,2024-01-08,3,MC020,EMP0122,150,158
PR000232,2024-01-08,3,MC023,EMP0082,134,158
PR000233,2024-01-08,4,MC028,EMP0071,222,200
PR000234,2024-01-08,4,MC026,EMP0062,212,200
PR000235,2024-01-08,4,MC027,EMP0022,212,200
PR000236,2024-01-08,4,MC025,EMP0154,219,200
PR000237,2024-01-08,5,MC031,EMP0101,127,142
PR000238,2024-01-08,5,MC033,EMP0056,121,142
PR000239,2024-01-08,5,MC034,EMP0086,146,142
PR000240,2024-01-08,5,MC032,EMP0150,138,142
PR000241,2024-01-08,5,MC035,EMP0096,145,142
PR000242,2024-01-08,6,MC037,EMP0085,319,325
PR000243,2024-01-08,6,MC038,EMP0120,314,325
PR000244,2024-01-08,6,MC036,EMP0152,310,325
PR000245,2024-01-09,1,MC006,EMP0030,170,181
PR000246,2024-01-09,1,MC002,EMP0102,166,181
PR000247,2024-01-09,1,MC003,EMP0038,189,181
PR000248,2024-01-09,1,MC001,EMP0088,155,181
PR000249,2024-01-09,1,MC007,EMP0073,191,181
PR000250,2024-01-09,1,MC008,EMP0030,157,181
PR000251,2024-01-09,2,MC013,EMP0098,129,120
PR000252,2024-01-09,2,MC012,EMP0048,119,120
PR000253,2024-01-09,2,MC015,EMP0004,107,120
PR000254,2024-01-09,2,MC017,EMP0045,103,120
PR000255,2024-01-09,2,MC009,EMP0139,127,120
PR000256,2024-01-09,2,MC014,EMP0001,107,120
PR000257,2024-01-09,2,MC016,EMP0042,103,120
PR000258,2024-01-09,2,MC010,EMP0133,130,120
PR000259,2024-01-09,2,MC018,EMP0114,105,120
PR000260,2024-01-09,3,MC020,EMP0136,137,158
PR000261,2024-01-09,3,MC023,EMP0099,135,158
PR000262,2024-01-09,3,MC024,EMP0069,141,158
PR000263,2024-01-09,3,MC021,EMP0136,154,158
PR000264,2024-01-09,3,MC019,EMP0016,166,158
PR000265,2024-01-09,4,MC028,EMP0109,214,200
PR000266,2024-01-09,4,MC026,EMP0002,219,200
PR000267,2024-01-09,4,MC029,EMP0093,194,200
PR000268,2024-01-09,4,MC027,EMP0154,213,200
PR000269,2024-01-09,5,MC031,EMP0028,148,142
PR000270,2024-01-09,5,MC032,EMP0060,122,142
PR000271,2024-01-09,5,MC030,EMP0058,128,142
PR000272,2024-01-09,5,MC035,EMP0150,143,142
PR000273,2024-01-09,5,MC034,EMP0096,113,142
PR000274,2024-01-09,6,MC039,EMP0144,320,325
PR000275,2024-01-09,6,MC038,EMP0046,337,325
PR000276,2024-01-09,6,MC036,EMP0120,346,325
PR000277,2024-01-10,1,MC008,EMP0032,176,181
PR000278,2024-01-10,1,MC002,EMP0162,159,181
PR000279,2024-01-10,1,MC006,EMP0163,183,181
PR000280,2024-01-10,1,MC007,EMP0072,159,181
PR000281,2024-01-10,1,MC004,EMP0102,190,181
PR000282,2024-01-10,1,MC003,EMP0017,172,181
PR000283,2024-01-10,2,MC015,EMP0103,138,120
PR000284,2024-01-10,2,MC014,EMP0148,123,120
PR000285,2024-01-10,2,MC013,EMP0089,124,120
PR000286,2024-01-10,2,MC009,EMP0031,112,120
PR000287,2024-01-10,2,MC010,EMP0146,116,120
PR000288,2024-01-10,2,MC011,EMP0148,108,120
PR000289,2024-01-10,2,MC012,EMP0036,121,120
PR000290,2024-01-10,3,MC024,EMP0099,152,158
PR000291,2024-01-10,3,MC020,EMP0179,149,158
PR000292,2024-01-10,3,MC023,EMP0136,173,158
PR000293,2024-01-10,3,MC022,EMP0179,165,158
PR000294,2024-01-10,3,MC021,EMP0078,143,158
PR000295,2024-01-10,4,MC028,EMP0109,238,200
PR000296,2024-01-10,4,MC027,EMP0174,210,200
PR000297,2024-01-10,4,MC026,EMP0071,204,200
PR000298,2024-01-10,4,MC025,EMP0153,198,200
PR000299,2024-01-10,5,MC033,EMP0068,139,142
PR000300,2024-01-10,5,MC035,EMP0060,154,142
PR000301,2024-01-10,5,MC030,EMP0003,134,142
PR000302,2024-01-10,5,MC032,EMP0165,113,142
PR000303,2024-01-10,6,MC037,EMP0171,337,325
PR000304,2024-01-10,6,MC038,EMP0046,354,325
PR000305,2024-01-10,6,MC039,EMP0046,318,325
PR000306,2024-01-11,1,MC005,EMP0112,178,181
PR000307,2024-01-11,1,MC003,EMP0038,172,181
PR000308,2024-01-11,1,MC008,EMP0104,162,181
PR000309,2024-01-11,1,MC001,EMP0044,169,181
PR000310,2024-01-11,1,MC002,EMP0176,184,181
PR000311,2024-01-11,1,MC006,EMP0025,174,181
PR000312,2024-01-11,1,MC007,EMP0151,186,181
PR000313,2024-01-11,2,MC012,EMP0045,120,120
PR000314,2024-01-11,2,MC016,EMP0041,108,120
PR000315,2024-01-11,2,MC018,EMP0090,103,120
PR000316,2024-01-11,2,MC013,EMP0106,113,120
PR000317,2024-01-11,2,MC009,EMP0090,126,120
PR000318,2024-01-11,2,MC017,EMP0178,121,120
PR000319,2024-01-11,2,MC014,EMP0133,110,120
PR000320,2024-01-11,2,MC011,EMP0042,113,120
PR000321,2024-01-11,2,MC015,EMP0031,117,120
PR000322,2024-01-11,3,MC024,EMP0159,138,158
PR000323,2024-01-11,3,MC019,EMP0111,144,158
PR000324,2024-01-11,3,MC020,EMP0064,154,158
PR000325,2024-01-11,3,MC022,EMP0078,157,158
PR000326,2024-01-11,3,MC021,EMP0084,150,158
PR000327,2024-01-11,4,MC027,EMP0132,200,200
PR000328,2024-01-11,4,MC025,EMP0154,237,200
PR000329,2024-01-11,4,MC028,EMP0062,222,200
PR000330,2024-01-11,5,MC033,EMP0145,154,142
PR000331,2024-01-11,5,MC031,EMP0068,121,142
PR000332,2024-01-11,5,MC030,EMP0165,151,142
PR000333,2024-01-11,5,MC035,EMP0068,131,142
PR000334,2024-01-11,5,MC034,EMP0086,137,142
PR000335,2024-01-11,6,MC037,EMP0120,307,325
PR000336,2024-01-11,6,MC039,EMP0100,296,325
PR000337,2024-01-11,6,MC038,EMP0046,333,325
PR000338,2024-01-12,1,MC008,EMP0094,147,181
PR000339,2024-01-12,1,MC004,EMP0166,149,181
PR000340,2024-01-12,1,MC003,EMP0032,149,181
PR000341,2024-01-12,1,MC005,EMP0054,141,181
PR000342,2024-01-12,1,MC006,EMP0177,161,181
PR000343,2024-01-12,1,MC007,EMP0037,141,181
PR000344,2024-01-12,2,MC010,EMP0051,97,120
PR000345,2024-01-12,2,MC009,EMP0001,107,120
PR000346,2024-01-12,2,MC015,EMP0036,93,120
PR000347,2024-01-12,2,MC014,EMP0115,104,120
PR000348,2024-01-12,2,MC013,EMP0012,97,120
PR000349,2024-01-12,2,MC012,EMP0105,100,120
PR000350,2024-01-12,2,MC017,EMP0076,101,120
PR000351,2024-01-12,2,MC018,EMP0027,96,120
PR000352,2024-01-12,3,MC024,EMP0143,139,158
PR000353,2024-01-12,3,MC023,EMP0099,138,158
PR000354,2024-01-12,3,MC019,EMP0179,124,158
PR000355,2024-01-12,3,MC022,EMP0016,129,158
PR000356,2024-01-12,3,MC021,EMP0033,121,158
PR000357,2024-01-12,4,MC025,EMP0059,196,200
PR000358,2024-01-12,4,MC029,EMP0156,188,200
PR000359,2024-01-12,4,MC026,EMP0059,172,200
PR000360,2024-01-12,4,MC028,EMP0093,175,200
PR000361,2024-01-12,5,MC033,EMP0101,96,142
PR000362,2024-01-12,5,MC034,EMP0003,96,142
PR000363,2024-01-12,5,MC030,EMP0164,121,142
PR000364,2024-01-12,5,MC031,EMP0101,110,142
PR000365,2024-01-12,6,MC039,EMP0171,274,325
PR000366,2024-01-12,6,MC036,EMP0155,247,325
PR000367,2024-01-12,6,MC038,EMP0171,293,325
PR000368,2024-01-13,1,MC007,EMP0038,190,181
PR000369,2024-01-13,1,MC005,EMP0005,166,181
PR000370,2024-01-13,1,MC001,EMP0005,186,181
PR000371,2024-01-13,1,MC006,EMP0168,179,181
PR000372,2024-01-13,1,MC004,EMP0032,188,181
PR000373,2024-01-13,1,MC008,EMP0057,143,181
PR000374,2024-01-13,2,MC009,EMP0074,119,120
PR000375,2024-01-13,2,MC013,EMP0135,112,120
PR000376,2024-01-13,2,MC012,EMP0169,135,120
PR000377,2024-01-13,2,MC016,EMP0138,113,120
PR000378,2024-01-13,2,MC014,EMP0048,106,120
PR000379,2024-01-13,2,MC010,EMP0106,113,120
PR000380,2024-01-13,2,MC018,EMP0095,110,120
PR000381,2024-01-13,3,MC021,EMP0006,143,158
PR000382,2024-01-13,3,MC019,EMP0143,153,158
PR000383,2024-01-13,3,MC023,EMP0013,139,158
PR000384,2024-01-13,3,MC022,EMP0064,169,158
PR000385,2024-01-13,3,MC024,EMP0172,139,158
PR000386,2024-01-13,4,MC028,EMP0071,213,200
PR000387,2024-01-13,4,MC025,EMP0174,208,200
PR000388,2024-01-13,4,MC026,EMP0109,185,200
PR000389,2024-01-13,5,MC030,EMP0164,136,142
PR000390,2024-01-13,5,MC032,EMP0086,136,142
PR000391,2024-01-13,5,MC031,EMP0164,134,142
PR000392,2024-01-13,5,MC034,EMP0060,146,142
PR000393,2024-01-13,6,MC038,EMP0155,306,325
PR000394,2024-01-13,6,MC036,EMP0046,325,325
PR000395,2024-01-13,6,MC037,EMP0155,312,325
PR000396,2024-01-14,1,MC004,EMP0176,61,181
PR000397,2024-01-14,1,MC008,EMP0091,63,181
PR000398,2024-01-14,1,MC007,EMP0073,60,181
PR000399,2024-01-14,1,MC006,EMP0044,64,181
PR000400,2024-01-14,1,MC002,EMP0008,59,181
PR000401,2024-01-14,1,MC005,EMP0038,62,181
PR000402,2024-01-14,1,MC003,EMP0038,54,181
PR000403,2024-01-14,2,MC017,EMP0147,41,120
PR000404,2024-01-14,2,MC016,EMP0041,39,120
PR000405,2024-01-14,2,MC014,EMP0115,40,120
PR000406,2024-01-14,2,MC013,EMP0129,40,120
PR000407,2024-01-14,2,MC009,EMP0089,39,120
PR000408,2024-01-14,2,MC015,EMP0040,41,120
PR000409,2024-01-14,2,MC012,EMP0114,43,120
PR000410,2024-01-14,2,MC010,EMP0147,43,120
PR000411,2024-01-14,2,MC018,EMP0089,40,120
PR000412,2024-01-14,3,MC021,EMP0125,56,158
PR000413,2024-01-14,3,MC019,EMP0055,51,158
PR000414,2024-01-14,3,MC020,EMP0069,56,158
PR000415,2024-01-14,3,MC022,EMP0122,48,158
PR000416,2024-01-14,4,MC026,EMP0156,69,200
PR000417,2024-01-14,4,MC029,EMP0071,74,200
PR000418,2024-01-14,4,MC025,EMP0131,69,200
PR000419,2024-01-14,4,MC027,EMP0087,79,200
PR000420,2024-01-14,5,MC031,EMP0068,47,142
PR000421,2024-01-14,5,MC030,EMP0086,49,142
PR000422,2024-01-14,5,MC033,EMP0056,49,142
PR000423,2024-01-14,5,MC035,EMP0101,47,142
PR000424,2024-01-14,5,MC034,EMP0068,54,142
PR000425,2024-01-14,6,MC036,EMP0085,120,325
PR000426,2024-01-14,6,MC039,EMP0144,109,325
PR000427,2024-01-14,6,MC038,EMP0155,127,325
PR000428,2024-01-15,1,MC005,EMP0008,181,181
PR000429,2024-01-15,1,MC004,EMP0054,148,181
PR000430,2024-01-15,1,MC001,EMP0102,172,181
PR000431,2024-01-15,1,MC007,EMP0007,204,181
PR000432,2024-01-15,1,MC002,EMP0008,170,181
PR000433,2024-01-15,1,MC008,EMP0097,178,181
PR000434,2024-01-15,2,MC010,EMP0041,102,120
PR000435,2024-01-15,2,MC015,EMP0020,96,120
PR000436,2024-01-15,2,MC018,EMP0098,115,120
PR000437,2024-01-15,2,MC014,EMP0035,108,120
PR000438,2024-01-15,2,MC009,EMP0169,106,120
PR000439,2024-01-15,2,MC011,EMP0074,110,120
PR000440,2024-01-15,2,MC013,EMP0138,118,120
PR000441,2024-01-15,2,MC012,EMP0035,110,120
PR000442,2024-01-15,3,MC021,EMP0180,155,158
PR000443,2024-01-15,3,MC019,EMP0159,159,158
PR000444,2024-01-15,3,MC023,EMP0136,135,158
PR000445,2024-01-15,3,MC022,EMP0010,129,158
PR000446,2024-01-15,3,MC020,EMP0029,145,158
PR000447,2024-01-15,4,MC026,EMP0175,197,200
PR000448,2024-01-15,4,MC027,EMP0019,208,200
PR000449,2024-01-15,4,MC028,EMP0062,231,200
PR000450,2024-01-15,4,MC029,EMP0050,189,200
PR000451,2024-01-15,5,MC033,EMP0058,129,142
PR000452,2024-01-15,5,MC035,EMP0145,126,142
PR000453,2024-01-15,5,MC031,EMP0086,142,142
PR000454,2024-01-15,5,MC034,EMP0058,139,142
PR000455,2024-01-15,6,MC037,EMP0065,286,325
PR000456,2024-01-15,6,MC036,EMP0053,364,325
PR000457,2024-01-15,6,MC039,EMP0046,321,325
PR000458,2024-01-16,1,MC006,EMP0097,170,181
PR000459,2024-01-16,1,MC003,EMP0092,158,181
PR000460,2024-01-16,1,MC002,EMP0017,177,181
PR000461,2024-01-16,1,MC004,EMP0177,186,181
PR000462,2024-01-16,1,MC001,EMP0151,194,181
PR000463,2024-01-16,1,MC007,EMP0112,165,181
PR000464,2024-01-16,2,MC015,EMP0148,106,120
PR000465,2024-01-16,2,MC012,EMP0045,119,120
PR000466,2024-01-16,2,MC011,EMP0021,117,120
PR000467,2024-01-16,2,MC009,EMP0089,114,120
PR000468,2024-01-16,2,MC016,EMP0024,131,120
PR000469,2024-01-16,2,MC013,EMP0098,107,120
PR000470,2024-01-16,2,MC014,EMP0117,110,120
PR000471,2024-01-16,2,MC010,EMP0040,127,120
PR000472,2024-01-16,3,MC021,EMP0084,163,158
PR000473,2024-01-16,3,MC019,EMP0039,163,158
PR000474,2024-01-16,3,MC024,EMP0016,155,158
PR000475,2024-01-16,3,MC023,EMP0064,129,158
PR000476,2024-01-16,3,MC020,EMP0033,172,158
PR000477,2024-01-16,4,MC027,EMP0108,199,200
PR000478,2024-01-16,4,MC026,EMP0062,211,200
PR000479,2024-01-16,4,MC029,EMP0022,236,200
PR000480,2024-01-16,4,MC025,EMP0002,223,200
PR000481,2024-01-16,5,MC032,EMP0058,139,142
PR000482,2024-01-16,5,MC033,EMP0101,142,142
PR000483,2024-01-16,5,MC030,EMP0056,145,142
PR000484,2024-01-16,5,MC031,EMP0096,141,142
PR000485,2024-01-16,6,MC037,EMP0053,342,325
PR000486,2024-01-16,6,MC038,EMP0144,315,325
PR000487,2024-01-16,6,MC036,EMP0065,323,325
PR000488,2024-01-17,1,MC004,EMP0176,180,181
PR000489,2024-01-17,1,MC005,EMP0137,162,181
PR000490,2024-01-17,1,MC003,EMP0017,190,181
PR000491,2024-01-17,1,MC002,EMP0094,189,181
PR000492,2024-01-17,1,MC001,EMP0075,170,181
PR000493,2024-01-17,1,MC008,EMP0126,183,181
PR000494,2024-01-17,2,MC016,EMP0009,128,120
PR000495,2024-01-17,2,MC011,EMP0133,127,120
PR000496,2024-01-17,2,MC013,EMP0113,113,120
PR000497,2024-01-17,2,MC010,EMP0169,126,120
