OrderID,Client,DeptID,OrderDate,DueDate,QuantityOrdered,Status
ORD0127,Decathlon Order,4,2024-05-05,2024-06-18,4244,In Progress
ORD0128,Nishat Exports Client,4,2024-05-21,2024-07-01,4453,Completed
ORD0129,Local Wholesale - Faisalabad,5,2024-09-01,2024-09-12,3408,Completed
ORD0130,Interloop B2B Order,3,2024-01-29,2024-03-07,2113,Completed
ORD0131,Decathlon Order,3,2024-11-29,2024-12-30,3185,Delayed
ORD0132,Zara Sourcing Order,6,2024-05-11,2024-06-09,2630,In Progress
ORD0133,Local Wholesale - Lahore,4,2025-04-26,2025-05-06,4024,Completed
ORD0134,Zara Sourcing Order,5,2024-08-21,2024-09-04,1270,Completed
ORD0135,Interloop B2B Order,6,2025-07-27,2025-08-07,1403,Completed
ORD0136,Local Wholesale - Lahore,5,2025-07-16,2025-08-08,674,Completed
ORD0137,Decathlon Order,5,2025-05-25,2025-07-01,971,Completed
ORD0138,Local Wholesale - Faisalabad,6,2025-05-29,2025-06-24,2261,Completed
ORD0139,Gul Ahmed Retail,4,2024-08-13,2024-09-05,1157,Completed
ORD0140,Local Wholesale - Faisalabad,2,2025-06-24,2025-07-25,3201,In Progress
ORD0141,Gul Ahmed Retail,3,2024-07-20,2024-08-16,1994,Completed
ORD0142,Local Wholesale - Faisalabad,6,2025-07-06,2025-08-15,5130,Completed
ORD0143,Next PLC Order,5,2025-03-11,2025-04-17,1668,Completed
ORD0144,Next PLC Order,4,2025-10-16,2025-11-28,2212,In Progress
ORD0145,Zara Sourcing Order,5,2025-12-31,2026-01-13,5605,Completed
ORD0146,Interloop B2B Order,2,2025-04-12,2025-04-25,1890,Completed
ORD0147,Zara Sourcing Order,1,2025-11-27,2025-12-08,1304,Delayed
ORD0148,Decathlon Order,1,2024-09-21,2024-10-29,3131,Completed
ORD0149,Interloop B2B Order,4,2025-06-18,2025-07-06,1470,Completed
ORD0150,Zara Sourcing Order,5,2025-09-08,2025-09-24,4804,Completed
ORD0151,H&M Sourcing Order,4,2025-04-15,2025-05-24,2345,Completed
ORD0152,Gul Ahmed Retail,2,2025-09-11,2025-09-24,3331,In Progress
ORD0153,Zara Sourcing Order,5,2024-12-07,2024-12-22,5795,Completed
ORD0154,Local Wholesale - Lahore,6,2025-11-02,2025-12-10,5569,Completed
ORD0155,Next PLC Order,6,2024-03-31,2024-04-15,4725,Completed
ORD0156,Al-Karam Textiles Buyer,5,2025-02-16,2025-03-03,2181,Completed
ORD0157,Next PLC Order,3,2025-08-19,2025-09-03,4776,Completed
ORD0158,Interloop B2B Order,1,2024-01-18,2024-02-04,3825,Completed
ORD0159,Local Wholesale - Lahore,6,2025-11-09,2025-11-24,971,Completed
ORD0160,H&M Sourcing Order,1,2025-12-24,2026-02-07,1391,Completed
ORD0161,H&M Sourcing Order,3,2024-06-01,2024-07-02,4831,Completed
ORD0162,Next PLC Order,5,2024-08-30,2024-09-15,4742,Completed
ORD0163,Local Wholesale - Faisalabad,3,2024-11-30,2024-12-30,2295,In Progress
ORD0164,Decathlon Order,1,2024-03-13,2024-04-02,3569,Completed
ORD0165,Decathlon Order,1,2025-03-30,2025-04-12,2210,Completed
ORD0166,Decathlon Order,3,2025-02-08,2025-03-16,2696,Completed
ORD0167,Decathlon Order,1,2025-07-05,2025-07-17,4521,Completed
ORD0168,Next PLC Order,6,2024-10-09,2024-11-05,772,In Progress
ORD0169,Nishat Exports Client,6,2025-04-14,2025-05-01,5148,Completed
ORD0170,Nishat Exports Client,1,2025-06-09,2025-07-11,1538,Completed
ORD0171,Gul Ahmed Retail,3,2024-04-18,2024-05-17,3954,Completed
ORD0172,Local Wholesale - Lahore,1,2024-05-26,2024-06-12,4779,Delayed
ORD0173,Local Wholesale - Lahore,2,2024-07-27,2024-08-23,2728,Completed
ORD0174,Interloop B2B Order,3,2025-06-21,2025-07-30,2086,In Progress
ORD0175,Local Wholesale - Lahore,4,2024-09-21,2024-10-13,3916,Completed
ORD0176,Decathlon Order,6,2024-05-18,2024-06-06,609,Completed
ORD0177,Decathlon Order,3,2024-02-07,2024-03-21,3719,In Progress
ORD0178,Zara Sourcing Order,5,2025-02-11,2025-03-24,2248,Completed
ORD0179,Interloop B2B Order,4,2025-05-15,2025-06-06,1795,Completed
ORD0180,Zara Sourcing Order,1,2025-09-06,2025-10-20,1815,Completed
ORD0181,Local Wholesale - Lahore,2,2025-06-01,2025-06-23,5570,Completed
ORD0182,Interloop B2B Order,1,2024-07-04,2024-08-15,684,In Progress
ORD0183,H&M Sourcing Order,1,2024-08-14,2024-09-21,1069,Completed
ORD0184,Next PLC Order,2,2025-01-29,2025-02-08,5809,Completed
ORD0185,Nishat Exports Client,5,2025-07-17,2025-08-26,3362,Delayed
ORD0186,Decathlon Order,6,2025-01-14,2025-01-25,1922,In Progress
ORD0187,Local Wholesale - Faisalabad,3,2025-08-28,2025-09-25,815,In Progress
ORD0188,Zara Sourcing Order,3,2024-10-20,2024-11-21,4660,Completed
ORD0189,Zara Sourcing Order,5,2024-09-09,2024-09-19,2036,Cancelled
ORD0190,Nishat Exports Client,2,2025-07-25,2025-08-25,2529,Completed
ORD0191,Local Wholesale - Lahore,2,2025-07-19,2025-09-02,1525,Completed
ORD0192,Decathlon Order,1,2025-12-12,2026-01-16,1719,Cancelled
ORD0193,H&M Sourcing Order,2,2025-07-04,2025-08-18,2201,Delayed
ORD0194,Local Wholesale - Faisalabad,5,2025-06-15,2025-07-08,2507,Completed
ORD0195,Decathlon Order,6,2025-02-04,2025-02-25,1449,Completed
ORD0196,Next PLC Order,6,2025-09-30,2025-11-04,1659,Completed
ORD0197,Next PLC Order,1,2024-02-18,2024-03-07,2901,Completed
ORD0198,Al-Karam Textiles Buyer,1,2024-06-01,2024-06-23,638,Completed
ORD0199,Local Wholesale - Lahore,6,2025-07-11,2025-08-24,4911,Completed
ORD0200,Local Wholesale - Lahore,5,2024-04-13,2024-05-10,802,Completed
ORD0201,Interloop B2B Order,3,2024-08-07,2024-08-21,1321,Delayed
ORD0202,Decathlon Order,2,2025-02-28,2025-03-24,3953,Completed
ORD0203,Local Wholesale - Lahore,2,2024-07-15,2024-08-14,2055,Completed
ORD0204,Al-Karam Textiles Buyer,1,2024-09-08,2024-10-15,1024,In Progress
ORD0205,Local Wholesale - Lahore,2,2025-07-12,2025-08-20,2405,Delayed
ORD0206,Interloop B2B Order,6,2024-10-07,2024-11-19,4249,Completed
ORD0207,Local Wholesale - Lahore,1,2024-12-31,2025-01-16,3861,Completed
ORD0208,Local Wholesale - Lahore,1,2025-02-09,2025-03-16,1336,Completed
ORD0209,Zara Sourcing Order,1,2024-06-15,2024-07-27,5273,Completed
ORD0210,Al-Karam Textiles Buyer,3,2024-09-11,2024-09-27,780,Completed
ORD0211,Next PLC Order,5,2024-02-24,2024-04-08,859,In Progress
ORD0212,Local Wholesale - Lahore,5,2024-07-31,2024-09-08,1912,Completed
ORD0213,Al-Karam Textiles Buyer,4,2024-09-25,2024-10-18,5950,Delayed
ORD0214,Local Wholesale - Lahore,6,2024-08-27,2024-10-09,4283,Completed
ORD0215,Nishat Exports Client,5,2024-06-23,2024-07-21,3082,Cancelled
ORD0216,Decathlon Order,4,2025-08-20,2025-09-21,2932,Completed
ORD0217,Decathlon Order,4,2024-12-22,2025-01-25,2705,Completed
ORD0218,Gul Ahmed Retail,2,2024-02-04,2024-03-15,2931,Completed
ORD0219,Local Wholesale - Faisalabad,4,2025-06-28,2025-07-28,1403,Completed
ORD0220,Next PLC Order,5,2024-01-09,2024-02-20,4231,Completed
ORD0221,Local Wholesale - Lahore,3,2025-07-28,2025-09-09,3450,Completed
ORD0222,Zara Sourcing Order,3,2024-09-20,2024-10-25,2473,Delayed
ORD0223,Al-Karam Textiles Buyer,3,2024-03-14,2024-03-31,5730,In Progress
ORD0224,H&M Sourcing Order,5,2024-06-25,2024-08-07,3522,Delayed
ORD0225,Next PLC Order,4,2025-09-04,2025-09-17,730,Completed
ORD0226,Local Wholesale - Lahore,2,2025-07-09,2025-07-29,2527,Completed
ORD0227,Decathlon Order,4,2024-12-23,2025-01-09,3363,Completed
ORD0228,Interloop B2B Order,1,2024-06-16,2024-06-29,2751,Completed
ORD0229,Local Wholesale - Faisalabad,5,2025-08-29,2025-10-08,3484,Completed
ORD0230,Nishat Exports Client,3,2024-08-11,2024-09-01,4850,Completed
ORD0231,Local Wholesale - Faisalabad,3,2025-09-06,2025-09-17,3212,Delayed
ORD0232,Al-Karam Textiles Buyer,4,2025-02-04,2025-03-07,3090,Delayed
ORD0233,Local Wholesale - Lahore,3,2025-02-09,2025-03-02,5915,Completed
ORD0234,Gul Ahmed Retail,6,2025-06-13,2025-07-10,1145,Delayed
ORD0235,Next PLC Order,5,2025-08-03,2025-09-02,3253,Completed
ORD0236,Zara Sourcing Order,1,2024-05-19,2024-06-16,1003,Completed
ORD0237,Al-Karam Textiles Buyer,1,2025-11-11,2025-12-16,2248,Completed
ORD0238,Zara Sourcing Order,1,2025-09-03,2025-09-28,2753,Completed
ORD0239,Local Wholesale - Lahore,1,2024-03-17,2024-04-18,2547,Completed
ORD0240,Next PLC Order,4,2024-03-07,2024-04-04,2077,Completed
ORD0241,Interloop B2B Order,6,2025-09-02,2025-10-12,4088,Completed
ORD0242,Decathlon Order,5,2024-08-17,2024-09-25,4633,Completed
ORD0243,H&M Sourcing Order,2,2025-10-20,2025-11-18,550,Completed
ORD0244,Interloop B2B Order,4,2025-05-17,2025-06-11,5267,Delayed
ORD0245,Local Wholesale - Faisalabad,1,2024-03-06,2024-04-19,5281,In Progress
ORD0246,Interloop B2B Order,6,2024-06-07,2024-07-12,821,Completed
ORD0247,Interloop B2B Order,4,2024-07-12,2024-07-30,3330,Delayed
ORD0248,Gul Ahmed Retail,6,2024-12-07,2025-01-12,4154,Completed
ORD0249,Nishat Exports Client,3,2025-04-22,2025-05-28,738,Completed
ORD0250,H&M Sourcing Order,1,2025-01-15,2025-02-26,1862,Cancelled
ORD0251,Gul Ahmed Retail,1,2025-05-19,2025-06-04,2287,Completed
ORD0252,Interloop B2B Order,5,2024-11-15,2024-12-17,1021,In Progress
ORD0253,Nishat Exports Client,5,2025-08-25,2025-09-04,1758,Completed
ORD0254,Al-Karam Textiles Buyer,1,2025-10-02,2025-11-08,865,In Progress
ORD0255,Gul Ahmed Retail,5,2025-06-14,2025-07-20,1689,Completed
ORD0256,Interloop B2B Order,4,2024-01-26,2024-02-25,5646,Completed
ORD0257,Gul Ahmed Retail,2,2024-04-01,2024-04-11,4988,In Progress
ORD0258,H&M Sourcing Order,3,2024-01-02,2024-02-05,4838,Delayed
ORD0259,Next PLC Order,4,2025-10-22,2025-11-26,4638,Completed
ORD0260,Gul Ahmed Retail,2,2024-09-22,2024-10-23,1407,Completed
ORD0261,H&M Sourcing Order,3,2025-08-25,2025-09-10,3100,Completed
ORD0262,Interloop B2B Order,1,2025-10-21,2025-12-03,2159,Completed
ORD0263,Zara Sourcing Order,5,2024-02-29,2024-03-18,866,Completed
ORD0264,Gul Ahmed Retail,5,2024-10-01,2024-11-01,2340,Completed
ORD0265,Al-Karam Textiles Buyer,1,2024-07-08,2024-08-11,1904,Delayed
ORD0266,Local Wholesale - Faisalabad,6,2025-07-13,2025-08-24,5518,Delayed
ORD0267,H&M Sourcing Order,5,2024-06-11,2024-07-13,1287,Completed
ORD0268,Nishat Exports Client,4,2024-03-24,2024-04-12,2529,Delayed
ORD0269,Zara Sourcing Order,5,2025-08-16,2025-09-24,3958,Completed
ORD0270,Local Wholesale - Faisalabad,5,2025-10-17,2025-11-19,524,Delayed
ORD0271,Next PLC Order,4,2024-08-10,2024-09-13,3099,Completed
ORD0272,Local Wholesale - Faisalabad,2,2024-03-01,2024-03-19,2793,In Progress
ORD0273,H&M Sourcing Order,6,2025-08-27,2025-09-20,673,Completed
ORD0274,Al-Karam Textiles Buyer,4,2025-07-27,2025-08-21,2760,Completed
ORD0275,Next PLC Order,5,2024-05-15,2024-06-22,4246,Completed
ORD0276,Local Wholesale - Lahore,1,2024-05-13,2024-06-16,4555,Delayed
ORD0277,H&M Sourcing Order,3,2024-10-14,2024-11-25,1185,In Progress
ORD0278,Al-Karam Textiles Buyer,3,2025-07-14,2025-08-01,5193,Delayed
ORD0279,H&M Sourcing Order,4,2025-12-03,2025-12-16,5532,Completed
ORD0280,Next PLC Order,6,2024-03-08,2024-03-22,1356,Delayed
ORD0281,Interloop B2B Order,6,2024-02-12,2024-03-04,4801,In Progress
ORD0282,H&M Sourcing Order,5,2025-06-24,2025-07-30,812,Completed
ORD0283,Next PLC Order,5,2024-02-21,2024-03-24,1706,Delayed
ORD0284,Local Wholesale - Faisalabad,6,2024-02-17,2024-03-24,4801,Delayed
ORD0285,H&M Sourcing Order,1,2025-02-24,2025-03-24,2245,Delayed
ORD0286,Decathlon Order,1,2024-05-31,2024-06-27,3553,Completed
ORD0287,Local Wholesale - Faisalabad,4,2024-04-02,2024-05-01,5505,Delayed
ORD0288,Gul Ahmed Retail,5,2025-10-15,2025-11-01,3248,Completed
ORD0289,Interloop B2B Order,3,2024-10-12,2024-11-22,1054,Completed
ORD0290,Next PLC Order,4,2024-09-01,2024-10-14,2169,Cancelled
ORD0291,Al-Karam Textiles Buyer,6,2024-11-23,2024-12-25,4706,In Progress
ORD0292,Decathlon Order,1,2025-10-25,2025-11-12,2426,Completed
ORD0293,Local Wholesale - Faisalabad,3,2024-10-17,2024-11-17,5814,Completed
ORD0294,Al-Karam Textiles Buyer,5,2024-12-07,2025-01-06,5392,Completed
ORD0295,Decathlon Order,6,2024-03-29,2024-04-25,1159,Completed
ORD0296,Local Wholesale - Faisalabad,6,2025-09-19,2025-10-12,523,Completed
ORD0297,Decathlon Order,4,2025-12-14,2026-01-24,4771,Completed
ORD0298,Next PLC Order,5,2024-01-08,2024-02-01,3312,Completed
ORD0299,Next PLC Order,2,2024-05-10,2024-05-30,3917,In Progress
ORD0300,Nishat Exports Client,1,2024-07-04,2024-08-11,931,Completed
ORD0301,Zara Sourcing Order,2,2025-04-26,2025-05-22,3460,Completed
ORD0302,Interloop B2B Order,4,2024-01-18,2024-03-02,1753,Completed
ORD0303,Local Wholesale - Faisalabad,5,2025-06-24,2025-07-14,732,Completed
ORD0304,Interloop B2B Order,5,2025-11-29,2026-01-01,5697,In Progress
ORD0305,Decathlon Order,2,2025-08-07,2025-09-06,1099,Completed
ORD0306,Local Wholesale - Lahore,6,2025-07-12,2025-08-18,5149,Completed
ORD0307,Al-Karam Textiles Buyer,4,2025-03-29,2025-04-28,1175,Completed
ORD0308,Al-Karam Textiles Buyer,1,2024-03-15,2024-04-05,5457,Completed
ORD0309,Local Wholesale - Lahore,5,2024-06-28,2024-08-05,4491,Completed
ORD0310,H&M Sourcing Order,6,2024-02-25,2024-03-28,695,Completed
ORD0311,Zara Sourcing Order,6,2025-07-24,2025-08-29,4869,Cancelled
ORD0312,Interloop B2B Order,6,2024-08-20,2024-09-26,1660,Completed
ORD0313,Interloop B2B Order,5,2024-11-05,2024-12-18,3635,Completed
ORD0314,Zara Sourcing Order,1,2024-03-11,2024-04-24,5821,Completed
ORD0315,H&M Sourcing Order,1,2025-12-29,2026-01-26,4212,Delayed
ORD0316,Al-Karam Textiles Buyer,5,2025-12-04,2026-01-01,1704,Completed
ORD0317,H&M Sourcing Order,1,2024-07-20,2024-08-05,2347,Completed
ORD0318,H&M Sourcing Order,1,2024-05-21,2024-06-24,5327,Cancelled
ORD0319,Zara Sourcing Order,6,2024-01-13,2024-02-08,2199,Completed
ORD0320,Local Wholesale - Faisalabad,5,2024-07-13,2024-08-17,988,Completed
ORD0321,Local Wholesale - Faisalabad,3,2024-10-11,2024-10-31,2287,Completed
ORD0322,Local Wholesale - Faisalabad,4,2024-04-27,2024-06-06,5431,Delayed
ORD0323,Local Wholesale - Faisalabad,6,2024-11-08,2024-11-23,563,In Progress
ORD0324,Next PLC Order,6,2024-05-27,2024-07-10,3757,Delayed
ORD0325,Nishat Exports Client,5,2024-10-16,2024-11-21,2653,Delayed
ORD0326,Al-Karam Textiles Buyer,6,2024-09-25,2024-10-20,825,Completed
ORD0327,Gul Ahmed Retail,3,2025-08-11,2025-08-31,1193,Completed
ORD0328,Interloop B2B Order,6,2025-02-20,2025-03-23,5081,Completed
ORD0329,H&M Sourcing Order,6,2025-04-24,2025-05-23,5748,Delayed
ORD0330,Nishat Exports Client,2,2024-08-28,2024-10-02,2380,Delayed
ORD0331,Decathlon Order,3,2024-09-12,2024-10-11,1750,Completed
ORD0332,H&M Sourcing Order,2,2025-08-16,2025-09-30,4926,Completed
ORD0333,Interloop B2B Order,4,2024-11-21,2024-12-03,5009,Completed
ORD0334,H&M Sourcing Order,3,2025-02-11,2025-03-17,4868,Completed
ORD0335,Local Wholesale - Lahore,1,2024-10-27,2024-11-24,5502,Completed
ORD0336,Local Wholesale - Faisalabad,1,2024-07-29,2024-09-04,5233,Cancelled
ORD0337,H&M Sourcing Order,2,2025-12-23,2026-01-26,5675,Completed
ORD0338,Zara Sourcing Order,1,2024-06-01,2024-06-12,4441,Cancelled
ORD0339,Decathlon Order,3,2025-06-27,2025-07-10,4922,Completed
ORD0340,H&M Sourcing Order,4,2024-11-16,2024-12-17,1551,Delayed
ORD0341,Gul Ahmed Retail,6,2025-02-19,2025-03-26,504,In Progress
ORD0342,Zara Sourcing Order,6,2025-12-01,2025-12-26,3845,Completed
ORD0343,Local Wholesale - Faisalabad,6,2025-12-02,2025-12-20,3247,Cancelled
ORD0344,H&M Sourcing Order,1,2025-08-09,2025-09-08,5591,Completed
