DefectID,ProdID,MachineID,DeptID,Date,DefectQty,DefectType
DF000070,PR000070,MC017,2,2024-01-03,4,Weaving Fault
DF000071,PR000071,MC010,2,2024-01-03,4,Fabric Tear
DF000072,PR000072,MC011,2,2024-01-03,6,Stain/Spot
DF000073,PR000073,MC012,2,2024-01-03,3,Weaving Fault
DF000074,PR000074,MC014,2,2024-01-03,3,Stitching Error
DF000075,PR000075,MC016,2,2024-01-03,2,Weaving Fault
DF000076,PR000076,MC015,2,2024-01-03,2,Colour Mismatch
DF000077,PR000077,MC018,2,2024-01-03,5,Stain/Spot
DF000078,PR000078,MC019,3,2024-01-03,15,Stitching Error
DF000079,PR000079,MC022,3,2024-01-03,10,Weaving Fault
DF000080,PR000080,MC020,3,2024-01-03,13,Colour Mismatch
DF000081,PR000081,MC023,3,2024-01-03,9,Fabric Tear
DF000082,PR000082,MC024,3,2024-01-03,6,Size Variance
DF000083,PR000083,MC028,4,2024-01-03,6,Weaving Fault
DF000084,PR000084,MC025,4,2024-01-03,5,Size Variance
DF000085,PR000085,MC027,4,2024-01-03,7,Colour Mismatch
DF000086,PR000086,MC031,5,2024-01-03,2,Stitching Error
DF000087,PR000087,MC034,5,2024-01-03,3,Colour Mismatch
DF000088,PR000088,MC035,5,2024-01-03,2,Colour Mismatch
DF000089,PR000089,MC030,5,2024-01-03,3,Fabric Tear
DF000090,PR000090,MC032,5,2024-01-03,5,Weaving Fault
DF000091,PR000091,MC039,6,2024-01-03,8,Colour Mismatch
DF000092,PR000092,MC036,6,2024-01-03,5,Stitching Error
DF000093,PR000093,MC038,6,2024-01-03,1,Colour Mismatch
DF000094,PR000094,MC003,1,2024-01-04,5,Weaving Fault
DF000095,PR000095,MC005,1,2024-01-04,6,Colour Mismatch
DF000096,PR000096,MC002,1,2024-01-04,3,Stain/Spot
DF000097,PR000097,MC001,1,2024-01-04,4,Fabric Tear
DF000098,PR000098,MC004,1,2024-01-04,6,Stain/Spot
DF000099,PR000099,MC008,1,2024-01-04,11,Stain/Spot
DF000100,PR000100,MC007,1,2024-01-04,5,Fabric Tear
DF000101,PR000101,MC016,2,2024-01-04,5,Stain/Spot
DF000102,PR000102,MC017,2,2024-01-04,2,Stitching Error
DF000103,PR000103,MC013,2,2024-01-04,5,Stitching Error
DF000104,PR000104,MC014,2,2024-01-04,5,Fabric Tear
DF000105,PR000105,MC012,2,2024-01-04,4,Size Variance
DF000106,PR000106,MC011,2,2024-01-04,8,Stitching Error
DF000107,PR000107,MC010,2,2024-01-04,4,Stitching Error
DF000108,PR000108,MC015,2,2024-01-04,3,Size Variance
DF000109,PR000109,MC022,3,2024-01-04,9,Colour Mismatch
DF000110,PR000110,MC020,3,2024-01-04,10,Stitching Error
DF000111,PR000111,MC024,3,2024-01-04,14,Fabric Tear
DF000112,PR000112,MC023,3,2024-01-04,8,Stitching Error
DF000113,PR000113,MC019,3,2024-01-04,8,Size Variance
DF000114,PR000114,MC025,4,2024-01-04,3,Stain/Spot
DF000115,PR000115,MC026,4,2024-01-04,5,Fabric Tear
DF000116,PR000116,MC029,4,2024-01-04,4,Size Variance
DF000117,PR000117,MC028,4,2024-01-04,5,Stain/Spot
DF000118,PR000118,MC031,5,2024-01-04,3,Colour Mismatch
DF000119,PR000119,MC030,5,2024-01-04,2,Weaving Fault
DF000120,PR000120,MC034,5,2024-01-04,2,Colour Mismatch
DF000121,PR000121,MC032,5,2024-01-04,2,Stain/Spot
DF000122,PR000122,MC033,5,2024-01-04,2,Fabric Tear
DF000123,PR000123,MC038,6,2024-01-04,2,Weaving Fault
DF000124,PR000124,MC036,6,2024-01-04,3,Colour Mismatch
DF000125,PR000125,MC037,6,2024-01-04,2,Size Variance
DF000126,PR000126,MC008,1,2024-01-05,8,Colour Mismatch
DF000127,PR000127,MC002,1,2024-01-05,4,Stitching Error
DF000128,PR000128,MC005,1,2024-01-05,5,Stain/Spot
DF000129,PR000129,MC003,1,2024-01-05,3,Stain/Spot
DF000130,PR000130,MC007,1,2024-01-05,4,Stitching Error
DF000131,PR000131,MC004,1,2024-01-05,5,Weaving Fault
DF000132,PR000132,MC006,1,2024-01-05,4,Size Variance
DF000133,PR000133,MC014,2,2024-01-05,4,Stitching Error
DF000134,PR000134,MC016,2,2024-01-05,4,Size Variance
DF000135,PR000135,MC010,2,2024-01-05,4,Weaving Fault
DF000136,PR000136,MC011,2,2024-01-05,12,Fabric Tear
DF000137,PR000137,MC013,2,2024-01-05,3,Colour Mismatch
DF000138,PR000138,MC012,2,2024-01-05,5,Size Variance
DF000139,PR000139,MC015,2,2024-01-05,3,Fabric Tear
DF000140,PR000140,MC023,3,2024-01-05,8,Stain/Spot
DF000141,PR000141,MC021,3,2024-01-05,6,Stain/Spot
DF000142,PR000142,MC024,3,2024-01-05,6,Stain/Spot
DF000143,PR000143,MC022,3,2024-01-05,8,Colour Mismatch
DF000144,PR000144,MC029,4,2024-01-05,2,Weaving Fault
DF000145,PR000145,MC028,4,2024-01-05,4,Colour Mismatch
DF000146,PR000146,MC026,4,2024-01-05,4,Colour Mismatch
DF000147,PR000147,MC030,5,2024-01-05,1,Fabric Tear
DF000148,PR000148,MC035,5,2024-01-05,2,Weaving Fault
DF000149,PR000149,MC034,5,2024-01-05,2,Colour Mismatch
DF000150,PR000150,MC033,5,2024-01-05,2,Size Variance
DF000151,PR000151,MC031,5,2024-01-05,2,Size Variance
DF000152,PR000152,MC038,6,2024-01-05,3,Colour Mismatch
DF000153,PR000153,MC039,6,2024-01-05,7,Colour Mismatch
DF000154,PR000154,MC037,6,2024-01-05,4,Stitching Error
DF000155,PR000155,MC003,1,2024-01-06,2,Fabric Tear
DF000156,PR000156,MC007,1,2024-01-06,3,Size Variance
DF000157,PR000157,MC006,1,2024-01-06,5,Size Variance
DF000158,PR000158,MC008,1,2024-01-06,8,Size Variance
DF000159,PR000159,MC004,1,2024-01-06,4,Size Variance
DF000160,PR000160,MC002,1,2024-01-06,4,Stain/Spot
DF000161,PR000161,MC011,2,2024-01-06,11,Colour Mismatch
DF000162,PR000162,MC009,2,2024-01-06,2,Fabric Tear
DF000163,PR000163,MC017,2,2024-01-06,4,Size Variance
DF000164,PR000164,MC016,2,2024-01-06,5,Stain/Spot
DF000165,PR000165,MC013,2,2024-01-06,4,Colour Mismatch
DF000166,PR000166,MC015,2,2024-01-06,4,Colour Mismatch
DF000167,PR000167,MC012,2,2024-01-06,2,Size Variance
DF000168,PR000168,MC014,2,2024-01-06,2,Size Variance
DF000169,PR000169,MC022,3,2024-01-06,5,Weaving Fault
DF000170,PR000170,MC023,3,2024-01-06,9,Fabric Tear
DF000171,PR000171,MC020,3,2024-01-06,7,Stitching Error
DF000172,PR000172,MC021,3,2024-01-06,15,Size Variance
DF000173,PR000173,MC024,3,2024-01-06,7,Stitching Error
DF000174,PR000174,MC028,4,2024-01-06,5,Colour Mismatch
DF000175,PR000175,MC025,4,2024-01-06,4,Weaving Fault
DF000176,PR000176,MC027,4,2024-01-06,19,Stain/Spot
DF000177,PR000177,MC026,4,2024-01-06,1,Fabric Tear
DF000178,PR000178,MC035,5,2024-01-06,2,Size Variance
DF000179,PR000179,MC032,5,2024-01-06,4,Weaving Fault
DF000180,PR000180,MC030,5,2024-01-06,2,Colour Mismatch
DF000181,PR000181,MC031,5,2024-01-06,3,Size Variance
DF000182,PR000182,MC034,5,2024-01-06,2,Colour Mismatch
DF000183,PR000183,MC037,6,2024-01-06,2,Stain/Spot
DF000184,PR000184,MC038,6,2024-01-06,4,Colour Mismatch
DF000185,PR000185,MC036,6,2024-01-06,1,Weaving Fault
DF000186,PR000186,MC007,1,2024-01-07,1,Stitching Error
DF000187,PR000187,MC008,1,2024-01-07,6,Size Variance
DF000188,PR000188,MC006,1,2024-01-07,1,Colour Mismatch
DF000189,PR000189,MC005,1,2024-01-07,2,Size Variance
DF000190,PR000190,MC004,1,2024-01-07,2,Fabric Tear
DF000191,PR000191,MC002,1,2024-01-07,2,Colour Mismatch
DF000192,PR000192,MC001,1,2024-01-07,1,Fabric Tear
DF000193,PR000193,MC010,2,2024-01-07,1,Colour Mismatch
DF000194,PR000194,MC011,2,2024-01-07,3,Stain/Spot
DF000195,PR000195,MC014,2,2024-01-07,1,Fabric Tear
DF000196,PR000196,MC018,2,2024-01-07,2,Fabric Tear
DF000197,PR000197,MC016,2,2024-01-07,1,Fabric Tear
DF000198,PR000198,MC009,2,2024-01-07,2,Size Variance
DF000199,PR000199,MC013,2,2024-01-07,2,Weaving Fault
DF000200,PR000200,MC023,3,2024-01-07,5,Colour Mismatch
DF000201,PR000201,MC019,3,2024-01-07,4,Fabric Tear
DF000202,PR000202,MC022,3,2024-01-07,3,Fabric Tear
DF000203,PR000203,MC024,3,2024-01-07,2,Stain/Spot
DF000204,PR000204,MC027,4,2024-01-07,3,Fabric Tear
DF000205,PR000205,MC028,4,2024-01-07,1,Stain/Spot
DF000206,PR000206,MC025,4,2024-01-07,2,Weaving Fault
DF000207,PR000208,MC032,5,2024-01-07,2,Fabric Tear
DF000208,PR000209,MC030,5,2024-01-07,1,Weaving Fault
DF000209,PR000211,MC039,6,2024-01-07,2,Fabric Tear
DF000210,PR000212,MC037,6,2024-01-07,1,Size Variance
DF000211,PR000213,MC036,6,2024-01-07,1,Weaving Fault
DF000212,PR000214,MC001,1,2024-01-08,4,Colour Mismatch
DF000213,PR000215,MC005,1,2024-01-08,4,Fabric Tear
DF000214,PR000216,MC007,1,2024-01-08,5,Colour Mismatch
DF000215,PR000217,MC002,1,2024-01-08,5,Fabric Tear
DF000216,PR000218,MC008,1,2024-01-08,8,Weaving Fault
DF000217,PR000219,MC003,1,2024-01-08,5,Fabric Tear
DF000218,PR000220,MC011,2,2024-01-08,9,Colour Mismatch
DF000219,PR000221,MC016,2,2024-01-08,5,Colour Mismatch
DF000220,PR000222,MC014,2,2024-01-08,4,Colour Mismatch
DF000221,PR000223,MC015,2,2024-01-08,4,Stain/Spot
DF000222,PR000224,MC013,2,2024-01-08,5,Fabric Tear
DF000223,PR000225,MC018,2,2024-01-08,1,Stain/Spot
DF000224,PR000226,MC010,2,2024-01-08,3,Fabric Tear
DF000225,PR000227,MC012,2,2024-01-08,3,Weaving Fault
DF000226,PR000228,MC022,3,2024-01-08,10,Colour Mismatch
DF000227,PR000229,MC024,3,2024-01-08,2,Weaving Fault
DF000228,PR000230,MC019,3,2024-01-08,10,Size Variance
DF000229,PR000231,MC020,3,2024-01-08,8,Colour Mismatch
DF000230,PR000232,MC023,3,2024-01-08,6,Stain/Spot
DF000231,PR000233,MC028,4,2024-01-08,6,Size Variance
DF000232,PR000234,MC026,4,2024-01-08,3,Size Variance
DF000233,PR000235,MC027,4,2024-01-08,9,Stitching Error
DF000234,PR000236,MC025,4,2024-01-08,5,Size Variance
DF000235,PR000237,MC031,5,2024-01-08,2,Colour Mismatch
DF000236,PR000238,MC033,5,2024-01-08,2,Weaving Fault
DF000237,PR000239,MC034,5,2024-01-08,1,Stain/Spot
DF000238,PR000240,MC032,5,2024-01-08,3,Colour Mismatch
DF000239,PR000241,MC035,5,2024-01-08,3,Colour Mismatch
DF000240,PR000242,MC037,6,2024-01-08,4,Stain/Spot
DF000241,PR000243,MC038,6,2024-01-08,3,Size Variance
DF000242,PR000244,MC036,6,2024-01-08,3,Weaving Fault
DF000243,PR000245,MC006,1,2024-01-09,4,Colour Mismatch
DF000244,PR000246,MC002,1,2024-01-09,5,Colour Mismatch
DF000245,PR000247,MC003,1,2024-01-09,4,Weaving Fault
DF000246,PR000248,MC001,1,2024-01-09,5,Stitching Error
DF000247,PR000249,MC007,1,2024-01-09,5,Colour Mismatch
DF000248,PR000250,MC008,1,2024-01-09,10,Stain/Spot
DF000249,PR000251,MC013,2,2024-01-09,2,Stain/Spot
DF000250,PR000252,MC012,2,2024-01-09,4,Stitching Error
DF000251,PR000253,MC015,2,2024-01-09,4,Colour Mismatch
DF000252,PR000254,MC017,2,2024-01-09,4,Size Variance
DF000253,PR000255,MC009,2,2024-01-09,5,Stitching Error
DF000254,PR000256,MC014,2,2024-01-09,2,Stain/Spot
DF000255,PR000257,MC016,2,2024-01-09,2,Stitching Error
DF000256,PR000258,MC010,2,2024-01-09,4,Size Variance
DF000257,PR000259,MC018,2,2024-01-09,2,Stain/Spot
DF000258,PR000260,MC020,3,2024-01-09,7,Fabric Tear
DF000259,PR000261,MC023,3,2024-01-09,12,Stitching Error
DF000260,PR000262,MC024,3,2024-01-09,6,Weaving Fault
DF000261,PR000263,MC021,3,2024-01-09,32,Stain/Spot
DF000262,PR000264,MC019,3,2024-01-09,9,Stitching Error
DF000263,PR000265,MC028,4,2024-01-09,4,Stitching Error
DF000264,PR000266,MC026,4,2024-01-09,5,Size Variance
DF000265,PR000267,MC029,4,2024-01-09,2,Size Variance
DF000266,PR000268,MC027,4,2024-01-09,7,Stain/Spot
DF000267,PR000269,MC031,5,2024-01-09,2,Fabric Tear
DF000268,PR000270,MC032,5,2024-01-09,4,Size Variance
DF000269,PR000271,MC030,5,2024-01-09,2,Colour Mismatch
DF000270,PR000272,MC035,5,2024-01-09,1,Colour Mismatch
DF000271,PR000273,MC034,5,2024-01-09,2,Weaving Fault
DF000272,PR000274,MC039,6,2024-01-09,8,Size Variance
DF000273,PR000275,MC038,6,2024-01-09,3,Stain/Spot
DF000274,PR000276,MC036,6,2024-01-09,3,Size Variance
DF000275,PR000277,MC008,1,2024-01-10,8,Stain/Spot
DF000276,PR000278,MC002,1,2024-01-10,5,Weaving Fault
DF000277,PR000279,MC006,1,2024-01-10,2,Fabric Tear
DF000278,PR000280,MC007,1,2024-01-10,4,Weaving Fault
DF000279,PR000281,MC004,1,2024-01-10,4,Stitching Error
DF000280,PR000282,MC003,1,2024-01-10,2,Fabric Tear
DF000281,PR000283,MC015,2,2024-01-10,6,Colour Mismatch
DF000282,PR000284,MC014,2,2024-01-10,5,Stitching Error
DF000283,PR000285,MC013,2,2024-01-10,5,Colour Mismatch
DF000284,PR000286,MC009,2,2024-01-10,5,Colour Mismatch
DF000285,PR000287,MC010,2,2024-01-10,6,Fabric Tear
DF000286,PR000288,MC011,2,2024-01-10,8,Stain/Spot
DF000287,PR000289,MC012,2,2024-01-10,6,Stitching Error
DF000288,PR000290,MC024,3,2024-01-10,7,Weaving Fault
DF000289,PR000291,MC020,3,2024-01-10,8,Size Variance
DF000290,PR000292,MC023,3,2024-01-10,13,Colour Mismatch
DF000291,PR000293,MC022,3,2024-01-10,11,Stitching Error
DF000292,PR000294,MC021,3,2024-01-10,28,Colour Mismatch
DF000293,PR000295,MC028,4,2024-01-10,6,Fabric Tear
DF000294,PR000296,MC027,4,2024-01-10,13,Weaving Fault
DF000295,PR000297,MC026,4,2024-01-10,5,Colour Mismatch
DF000296,PR000298,MC025,4,2024-01-10,3,Weaving Fault
DF000297,PR000299,MC033,5,2024-01-10,2,Colour Mismatch
DF000298,PR000300,MC035,5,2024-01-10,2,Stitching Error
DF000299,PR000301,MC030,5,2024-01-10,1,Fabric Tear
DF000300,PR000302,MC032,5,2024-01-10,2,Size Variance
DF000301,PR000303,MC037,6,2024-01-10,2,Size Variance
DF000302,PR000304,MC038,6,2024-01-10,5,Stain/Spot
DF000303,PR000305,MC039,6,2024-01-10,11,Colour Mismatch
DF000304,PR000306,MC005,1,2024-01-11,6,Weaving Fault
DF000305,PR000307,MC003,1,2024-01-11,6,Colour Mismatch
DF000306,PR000308,MC008,1,2024-01-11,12,Size Variance
DF000307,PR000309,MC001,1,2024-01-11,4,Size Variance
DF000308,PR000310,MC002,1,2024-01-11,5,Size Variance
DF000309,PR000311,MC006,1,2024-01-11,5,Stain/Spot
DF000310,PR000312,MC007,1,2024-01-11,3,Stain/Spot
DF000311,PR000313,MC012,2,2024-01-11,5,Stitching Error
DF000312,PR000314,MC016,2,2024-01-11,4,Colour Mismatch
DF000313,PR000315,MC018,2,2024-01-11,5,Stitching Error
DF000314,PR000316,MC013,2,2024-01-11,4,Fabric Tear
DF000315,PR000317,MC009,2,2024-01-11,4,Stitching Error
DF000316,PR000318,MC017,2,2024-01-11,3,Colour Mismatch
DF000317,PR000319,MC014,2,2024-01-11,2,Stitching Error
DF000318,PR000320,MC011,2,2024-01-11,12,Stitching Error
DF000319,PR000321,MC015,2,2024-01-11,5,Size Variance
DF000320,PR000322,MC024,3,2024-01-11,6,Size Variance
DF000321,PR000323,MC019,3,2024-01-11,10,Stain/Spot
DF000322,PR000324,MC020,3,2024-01-11,9,Stitching Error
DF000323,PR000325,MC022,3,2024-01-11,9,Stitching Error
DF000324,PR000326,MC021,3,2024-01-11,30,Stain/Spot
DF000325,PR000327,MC027,4,2024-01-11,10,Fabric Tear
DF000326,PR000328,MC025,4,2024-01-11,5,Stain/Spot
DF000327,PR000329,MC028,4,2024-01-11,4,Fabric Tear
DF000328,PR000330,MC033,5,2024-01-11,1,Colour Mismatch
DF000329,PR000331,MC031,5,2024-01-11,1,Fabric Tear
DF000330,PR000332,MC030,5,2024-01-11,3,Stain/Spot
DF000331,PR000333,MC035,5,2024-01-11,1,Weaving Fault
DF000332,PR000334,MC034,5,2024-01-11,2,Size Variance
DF000333,PR000335,MC037,6,2024-01-11,2,Stitching Error
DF000334,PR000336,MC039,6,2024-01-11,8,Size Variance
DF000335,PR000337,MC038,6,2024-01-11,3,Weaving Fault
DF000336,PR000338,MC008,1,2024-01-12,4,Colour Mismatch
DF000337,PR000339,MC004,1,2024-01-12,3,Stitching Error
DF000338,PR000340,MC003,1,2024-01-12,4,Weaving Fault
DF000339,PR000341,MC005,1,2024-01-12,2,Weaving Fault
DF000340,PR000342,MC006,1,2024-01-12,4,Weaving Fault
DF000341,PR000344,MC010,2,2024-01-12,4,Fabric Tear
DF000342,PR000345,MC009,2,2024-01-12,3,Fabric Tear
DF000343,PR000346,MC015,2,2024-01-12,3,Stitching Error
DF000344,PR000347,MC014,2,2024-01-12,2,Stain/Spot
DF000345,PR000348,MC013,2,2024-01-12,2,Size Variance
DF000346,PR000349,MC012,2,2024-01-12,2,Size Variance
DF000347,PR000350,MC017,2,2024-01-12,3,Size Variance
DF000348,PR000351,MC018,2,2024-01-12,4,Stain/Spot
DF000349,PR000352,MC024,3,2024-01-12,4,Stain/Spot
DF000350,PR000353,MC023,3,2024-01-12,10,Stain/Spot
DF000351,PR000354,MC019,3,2024-01-12,11,Colour Mismatch
DF000352,PR000355,MC022,3,2024-01-12,11,Stain/Spot
DF000353,PR000356,MC021,3,2024-01-12,13,Fabric Tear
DF000354,PR000357,MC025,4,2024-01-12,6,Size Variance
DF000355,PR000358,MC029,4,2024-01-12,5,Weaving Fault
DF000356,PR000359,MC026,4,2024-01-12,2,Colour Mismatch
DF000357,PR000360,MC028,4,2024-01-12,5,Fabric Tear
DF000358,PR000361,MC033,5,2024-01-12,1,Size Variance
DF000359,PR000362,MC034,5,2024-01-12,1,Fabric Tear
DF000360,PR000363,MC030,5,2024-01-12,1,Stitching Error
DF000361,PR000364,MC031,5,2024-01-12,2,Stain/Spot
DF000362,PR000365,MC039,6,2024-01-12,4,Stitching Error
DF000363,PR000366,MC036,6,2024-01-12,1,Size Variance
DF000364,PR000367,MC038,6,2024-01-12,2,Colour Mismatch
DF000365,PR000368,MC007,1,2024-01-13,6,Stain/Spot
DF000366,PR000369,MC005,1,2024-01-13,3,Stitching Error
DF000367,PR000370,MC001,1,2024-01-13,5,Fabric Tear
DF000368,PR000371,MC006,1,2024-01-13,2,Stain/Spot
DF000369,PR000372,MC004,1,2024-01-13,3,Fabric Tear
DF000370,PR000373,MC008,1,2024-01-13,7,Fabric Tear
DF000371,PR000374,MC009,2,2024-01-13,7,Stain/Spot
DF000372,PR000375,MC013,2,2024-01-13,2,Stain/Spot
DF000373,PR000376,MC012,2,2024-01-13,5,Colour Mismatch
DF000374,PR000377,MC016,2,2024-01-13,3,Fabric Tear
DF000375,PR000378,MC014,2,2024-01-13,5,Stain/Spot
DF000376,PR000379,MC010,2,2024-01-13,3,Stain/Spot
DF000377,PR000380,MC018,2,2024-01-13,6,Stitching Error
DF000378,PR000381,MC021,3,2024-01-13,24,Stain/Spot
DF000379,PR000382,MC019,3,2024-01-13,10,Size Variance
DF000380,PR000383,MC023,3,2024-01-13,10,Stitching Error
DF000381,PR000384,MC022,3,2024-01-13,10,Weaving Fault
DF000382,PR000385,MC024,3,2024-01-13,5,Size Variance
DF000383,PR000386,MC028,4,2024-01-13,4,Size Variance
DF000384,PR000387,MC025,4,2024-01-13,4,Stitching Error
DF000385,PR000388,MC026,4,2024-01-13,5,Stain/Spot
DF000386,PR000389,MC030,5,2024-01-13,2,Stitching Error
DF000387,PR000390,MC032,5,2024-01-13,6,Stitching Error
DF000388,PR000391,MC031,5,2024-01-13,1,Stitching Error
DF000389,PR000392,MC034,5,2024-01-13,2,Size Variance
DF000390,PR000393,MC038,6,2024-01-13,2,Stain/Spot
DF000391,PR000394,MC036,6,2024-01-13,2,Colour Mismatch
DF000392,PR000395,MC037,6,2024-01-13,4,Weaving Fault
DF000393,PR000396,MC004,1,2024-01-14,2,Fabric Tear
DF000394,PR000397,MC008,1,2024-01-14,3,Weaving Fault
DF000395,PR000398,MC007,1,2024-01-14,1,Stitching Error
DF000396,PR000399,MC006,1,2024-01-14,2,Size Variance
DF000397,PR000400,MC002,1,2024-01-14,2,Weaving Fault
DF000398,PR000401,MC005,1,2024-01-14,1,Size Variance
DF000399,PR000402,MC003,1,2024-01-14,2,Weaving Fault
DF000400,PR000403,MC017,2,2024-01-14,1,Stain/Spot
DF000401,PR000404,MC016,2,2024-01-14,1,Weaving Fault
DF000402,PR000405,MC014,2,2024-01-14,1,Fabric Tear
DF000403,PR000406,MC013,2,2024-01-14,1,Stitching Error
DF000404,PR000407,MC009,2,2024-01-14,2,Stain/Spot
DF000405,PR000408,MC015,2,2024-01-14,1,Weaving Fault
DF000406,PR000409,MC012,2,2024-01-14,2,Fabric Tear
DF000407,PR000410,MC010,2,2024-01-14,1,Stitching Error
DF000408,PR000411,MC018,2,2024-01-14,1,Size Variance
DF000409,PR000412,MC021,3,2024-01-14,3,Size Variance
DF000410,PR000413,MC019,3,2024-01-14,3,Size Variance
DF000411,PR000414,MC020,3,2024-01-14,3,Stitching Error
DF000412,PR000415,MC022,3,2024-01-14,2,Size Variance
DF000413,PR000416,MC026,4,2024-01-14,1,Weaving Fault
DF000414,PR000417,MC029,4,2024-01-14,1,Size Variance
DF000415,PR000418,MC025,4,2024-01-14,1,Weaving Fault
DF000416,PR000419,MC027,4,2024-01-14,3,Size Variance
DF000417,PR000420,MC031,5,2024-01-14,1,Stain/Spot
DF000418,PR000421,MC030,5,2024-01-14,1,Fabric Tear
DF000419,PR000422,MC033,5,2024-01-14,1,Weaving Fault
DF000420,PR000423,MC035,5,2024-01-14,1,Fabric Tear
DF000421,PR000425,MC036,6,2024-01-14,2,Size Variance
DF000422,PR000426,MC039,6,2024-01-14,3,Size Variance
DF000423,PR000427,MC038,6,2024-01-14,1,Colour Mismatch
DF000424,PR000428,MC005,1,2024-01-15,4,Weaving Fault
DF000425,PR000429,MC004,1,2024-01-15,4,Colour Mismatch
DF000426,PR000430,MC001,1,2024-01-15,5,Fabric Tear
